-55.943947,-51.249264,227.6923
9.256123,105.46938,215.38461
77.8226,-101.505684,203.07692
-143.4005,25.365372,190.76923
135.39961,86.130264,178.46155
-44.95928,-167.24701,166.15385
-84.90149,163.47202,153.84616
182.06102,-66.48796,141.53847
-186.93575,-77.16493,129.23079
88.834694,189.83517,116.92307
64.6458,-206.09837,104.615395
-191.67781,111.08064,92.307686
220.99628,48.586483,80.0
-132.4263,-188.36407,67.692314
-30.011383,231.58554,55.38461
180.53616,-152.15477,43.07693
-237.81615,-9.835116,30.76923
169.61412,168.79048,18.461538
-11.080471,-239.66508,6.1538334
-153.7201,184.20714,-6.1538544
237.15205,-31.907309,-18.461561
-195.37926,-135.9419,-30.76925
51.817875,230.34601,-43.076923
116.10359,-202.61418,-55.38463
-219.36354,69.9813,-67.69233
205.4088,94.90637,-80.000015
-85.52656,-204.36365,-92.3077
-73.1067,203.25114,-104.61539
185.52988,-97.50722,-116.92309
-195.55557,-51.55018,-129.23077
104.82512,163.02931,-141.53845
31.201416,-181.54294,-153.84616
-136.92407,106.04099,-166.15385
159.92468,13.250342,-178.46153
-98.89115,-106.90016,-190.76923
0.62261945,127.90377,-203.07692
71.1367,-78.4158,-215.38461
-75.546036,7.000426,-227.6923
